0.001505, 0.034516, 0.093953, 0.121468
0.004838, 0.034486, 0.001043, 0.109318
0.000929, 0.101631, 0.018972, 0.042499
0.000755, 0.000636, 0.139816, 0.061952
0.000838, 0.049762, 0.098139, 0.111405
0.008438, 0.058637, 0.134291, 0.072095
0.002061, 0.029517, 0.045752, 0.070257
0.000848, 0.031269, 0.086079, 0.046289
0.002692, 0.043214, 0.066046, 0.086502
0.003321, 0.010744, 0.093897, 0.055657
0.000617, 0.007677, 0.097238, 0.013157
0.003154, 0.028229, 0.032030, 0.076583
0.001025, 0.064788, 0.041819, 0.069761
0.000902, 0.050288, 0.072497, 0.099589
0.001249, 0.120576, 0.014714, 0.067445
0.000337, 0.017365, 0.071704, 0.074180
0.001428, 0.057574, 0.087041, 0.083423
0.002033, 0.051742, 0.019365, 0.091555
0.003472, 0.029351, 0.031650, 0.070490
0.001353, 0.096222, 0.074799, 0.003025
