# Data columns: X Max 3stQuartile Median 1rdQuartile Min BoxWidth Titles
1       0.5 "DE+PSO 10"
2 0.008570574 0.006237177 0.003109241 0.001481165 0.000078621 0.5 "DE+AIC 10"
3 0.051116547 0.039521144 0.030556070 0.019701343 0.014122171 0.5 "GA+ANN 10"
4 0.043937647 0.031495060 0.025481667 0.017192681 0.006332286 0.5 "GLSDC 10"
7 -1 -1 -1 -1 -1 0.8 ""
5       0.5 "DE+PSO 20"
6 0.015939740 0.011425807 0.004970510 0.003961083 0.000738363 0.5 "DE+AIC 20"
7 0.044607642 0.033970723 0.031975321 0.021573999 0.017454848 0.5 "GA+ANN 20"
8 0.112287135 0.076916272 0.033970723 0.019113970 0.005201378 0.5 "GLSDC 20"
7 -1 -1 -1 -1 -1 0.8 ""
9       0.5 "DE+PSO 30"
10 0.009970906 0.007945982 0.005442968 0.003562924 0.001332282 0.5 "DE+AIC 30"
11 0.021573999 0.015232242 0.012896345 0.007039921 0.003404781 0.5 "GA+ANN 30"
12 0.037766965 0.030556070 0.025481667 0.017454848 0.006428845 0.5 "GLSDC 30"
7 -1 -1 -1 -1 -1 0.8 ""
13       0.5 "DE+PSO 50"
14 0.039521144 0.032957924 0.013292651 0.007945982 0.002367827 0.5 "DE+AIC 50"
15 0.102540439 0.079279913 0.063179488 0.018826883 0.016934451 0.5 "GA+ANN 50"
16 0.102540439 0.080488834 0.059468395 0.040123792 0.022236970 0.5 "GLSDC 50"
7 -1 -1 -1 -1 -1 0.8 ""
